lower_n,upper_n,excitation_energy,alpha,beta
1,3,11.6240,1.920000e-02,4.0
1,5,11.8280,4.620000e-02,4.0
1,15,14.2520,3.710000e-03,4.0
1,16,14.0900,3.330000e-02,4.0
1,17,14.3040,1.790000e-02,2.0
1,20,14.7920,5.150000e-02,1.0
1,21,14.9760,3.060000e-02,1.0
1,26,15.3240,6.500000e-04,1.0
1,27,15.1530,3.690000e-02,1.0
1,33,15.3470,2.400000e-02,1.0
2,6,1.3590,3.297834e-02,1.0
2,7,1.5680,1.836568e-01,1.0
2,8,1.7470,7.285426e-03,1.0
2,9,1.7800,6.479547e-03,1.0
2,18,2.9610,2.251345e-03,1.0
2,19,3.1420,2.025423e-04,1.0
2,25,3.4800,3.677317e-04,1.0
2,31,3.7340,5.109504e-04,1.0
2,37,3.8750,1.024686e-04,1.0
2,45,4.0440,2.670455e-05,1.0
3,6,1.2830,1.765038e-02,1.0
3,7,1.4920,1.639627e-01,1.0
3,8,1.6710,2.670781e-02,1.0
3,9,1.7040,3.367507e-03,1.0
3,10,1.6490,2.647557e-02,1.0
3,11,1.8560,1.230882e-04,1.0
3,18,2.8850,1.996525e-03,1.0
3,19,3.0660,3.572730e-04,1.0
3,24,3.5810,1.442085e-04,1.0
3,25,3.4040,3.533108e-04,1.0
3,31,3.6580,5.109504e-04,1.0
3,37,3.7990,1.024686e-04,1.0
3,45,3.9680,2.670455e-05,1.0
4,6,1.1840,1.114761e-02,1.0
4,7,1.3930,1.904383e-02,1.0
4,8,1.5720,1.230882e-01,1.0
4,9,1.6050,7.292394e-02,1.0
4,18,2.7860,2.180416e-04,1.0
4,19,2.9670,2.285496e-03,1.0
4,25,3.3050,3.244691e-04,1.0
4,30,3.7380,3.542172e-04,1.0
4,36,3.8770,5.680539e-05,1.0
4,44,4.0460,4.671347e-04,1.0
5,6,1.0790,8.825190e-04,1.0
5,7,1.2880,3.620650e-02,1.0
5,8,1.4670,1.265718e-01,1.0
5,9,1.5000,3.646197e-02,1.0
5,11,1.6520,2.903023e-02,1.0
5,18,2.6810,5.424770e-04,1.0
5,19,2.8620,2.156773e-03,1.0
5,25,3.2000,3.965734e-04,1.0
5,30,3.6330,3.542172e-04,1.0
5,36,3.7720,5.680539e-05,1.0
5,44,3.9410,4.671347e-04,1.0
6,12,0.9770,6.882525e-02,1.0
6,15,1.3450,1.150703e-03,1.0
6,16,1.1830,5.696614e-03,1.0
6,20,1.8850,5.185920e-03,1.0
6,21,2.0690,1.232162e-03,1.0
6,26,2.4170,8.930807e-04,1.0
6,27,2.2460,3.557336e-03,1.0
6,33,2.4400,3.415711e-03,1.0
6,39,2.5530,1.590429e-03,1.0
6,43,2.6410,2.609574e-03,1.0
7,12,0.7680,2.017450e-02,1.0
7,13,0.8780,6.409446e-02,1.0
7,14,1.1130,1.400922e-02,1.0
7,15,1.1360,5.184487e-04,1.0
7,16,0.9740,1.518721e-01,1.0
7,20,1.6760,1.185071e-02,1.0
7,21,1.8600,9.267264e-04,1.0
7,26,2.2080,1.365096e-03,1.0
7,27,2.0370,8.633241e-03,1.0
7,33,2.2310,6.766359e-03,1.0
7,39,2.3440,7.081367e-03,1.0
7,43,2.4320,2.609574e-03,1.0
8,12,0.5890,3.815147e-03,1.0
8,14,0.9340,1.817536e-01,1.0
8,15,0.9570,8.630275e-03,1.0
8,17,1.0090,1.510798e-02,1.0
8,20,1.4970,6.076481e-04,1.0
8,21,1.6810,4.372540e-03,1.0
8,26,2.0290,2.816243e-03,1.0
8,27,1.8580,2.403339e-04,1.0
8,38,2.3410,1.589968e-03,1.0
8,42,2.4300,3.894152e-05,1.0
9,12,0.5560,3.662541e-03,1.0
9,14,0.9010,4.425570e-02,1.0
9,15,0.9240,1.485798e-03,1.0
9,17,0.9760,2.594300e-02,1.0
9,20,1.4640,2.566789e-04,1.0
9,21,1.6480,1.968605e-03,1.0
9,26,1.9960,8.555886e-04,1.0
9,38,2.3080,1.589968e-03,1.0
9,42,2.3970,3.894152e-05,1.0
10,16,0.8170,6.209988e-02,1.0
10,39,2.1870,1.590429e-03,1.0
10,43,2.2750,2.609574e-03,1.0
11,15,0.7720,6.954800e-03,1.0
11,17,0.8240,8.088111e-02,1.0
11,38,2.1560,1.589968e-03,1.0
11,42,2.2450,3.894152e-05,1.0
12,18,0.6250,1.228114e-01,1.0
12,22,1.1990,5.460272e-01,1.0
12,25,1.1440,8.681270e-03,1.0
12,29,1.3310,4.985171e-02,1.0
12,31,1.3980,2.471955e-03,1.0
12,35,1.4980,1.134872e-03,1.0
12,37,1.5390,1.059105e-03,1.0
12,41,1.5980,9.362147e-03,1.0
12,45,1.7080,4.854256e-04,1.0
13,18,0.5150,1.228114e-01,1.0
13,25,1.0340,8.681270e-03,1.0
13,29,1.2210,4.985171e-02,1.0
13,31,1.2880,2.471955e-03,1.0
13,35,1.3880,1.134872e-03,1.0
13,37,1.4290,1.059105e-03,1.0
13,41,1.4880,9.362147e-03,1.0
13,45,1.5980,4.854256e-04,1.0
14,19,0.4610,1.363687e-01,1.0
14,24,0.9760,9.059831e-03,1.0
14,28,1.1640,6.134213e-02,1.0
14,30,1.2320,1.217115e-03,1.0
