lower_n,upper_n,excitation_energy,alpha
1,6,12.9070,3.500000e-02
1,7,13.1160,1.150000e-01
1,8,13.2950,3.500000e-02
1,9,13.3280,7.000000e-03
1,10,13.2730,7.000000e-03
1,11,13.4800,3.500000e-02
1,14,14.2290,4.200000e-02
1,18,14.5090,7.000000e-02
1,19,14.6900,5.000000e-02
2,12,2.3360,3.217500e+00
2,13,2.4460,5.720000e+00
2,16,2.5420,1.954250e+01
2,20,3.2440,2.622800e+00
2,23,3.3580,4.100000e-01
2,27,3.6050,6.561000e-01
2,29,3.6670,1.781000e-01
2,33,3.7990,1.850700e-01
2,35,3.8340,5.299000e-02
2,39,3.9120,6.625700e-02
2,41,3.9340,8.668000e-03
2,43,4.0000,2.673000e-04
2,47,4.0760,2.350000e-02
3,12,2.2600,3.217500e+00
3,13,2.3700,5.720000e+00
3,16,2.4660,1.954250e+01
3,20,3.1680,2.622800e+00
3,23,3.2820,4.100000e-01
3,27,3.5290,6.561000e-01
3,29,3.5910,1.781000e-01
3,33,3.7230,1.850700e-01
3,35,3.7580,5.299000e-02
3,39,3.8360,6.625700e-02
3,41,3.8580,8.668000e-03
3,43,3.9240,2.673000e-04
3,47,4.0000,2.350000e-02
4,14,2.5060,1.282650e+01
4,15,2.5290,1.439000e+01
4,17,2.5810,2.263500e+00
4,21,3.2530,2.710900e+00
4,22,3.3600,4.410000e-01
4,26,3.6010,6.508500e-01
4,28,3.6700,1.910000e-01
4,32,3.7970,1.873800e-01
4,34,3.8370,5.731000e-02
4,38,3.9130,6.801000e-02
4,40,3.9360,9.713000e-03
4,46,4.0780,2.482000e-02
5,14,2.4010,1.282650e+01
5,15,2.4240,1.439000e+01
5,17,2.4760,2.263500e+00
5,21,3.1480,2.710900e+00
5,22,3.2550,4.410000e-01
5,26,3.4960,6.508500e-01
5,28,3.5650,1.910000e-01
5,32,3.6920,1.873800e-01
5,34,3.7320,5.731000e-02
5,38,3.8080,6.801000e-02
5,40,3.8310,9.713000e-03
5,46,3.9730,2.482000e-02
6,18,1.6020,7.615000e+02
6,23,1.9990,1.090000e+01
6,25,2.1210,1.378000e+02
6,29,2.3080,3.375000e+00
6,31,2.3750,5.657000e+01
6,35,2.4750,1.243000e+00
6,37,2.5160,3.213000e+01
6,41,2.5750,4.404000e-01
6,45,2.6850,1.603000e+01
7,18,1.3930,7.615000e+02
7,23,1.7900,1.090000e+01
7,25,1.9120,1.378000e+02
7,29,2.0990,3.375000e+00
7,31,2.1660,5.657000e+01
7,35,2.2660,1.243000e+00
7,37,2.3070,3.213000e+01
7,41,2.3660,4.404000e-01
7,45,2.4760,1.603000e+01
8,19,1.3950,7.973000e+02
8,22,1.7880,1.216000e+01
8,24,1.9100,1.445000e+02
8,28,2.0980,3.675000e+00
8,30,2.1660,5.980000e+01
8,34,2.2650,1.346000e+00
8,36,2.3050,3.415000e+01
8,40,2.3640,4.793000e-01
8,44,2.4740,3.654000e+00
9,19,1.3620,7.973000e+02
9,22,1.7550,1.216000e+01
9,24,1.8770,1.445000e+02
9,28,2.0650,3.675000e+00
9,30,2.1330,5.980000e+01
9,34,2.2320,1.346000e+00
9,36,2.2720,3.415000e+01
9,40,2.3310,4.793000e-01
9,44,2.4410,3.654000e+00
10,18,1.2360,7.615000e+02
10,23,1.6330,1.090000e+01
10,25,1.7550,1.378000e+02
10,29,1.9420,3.375000e+00
10,31,2.0090,5.657000e+01
10,35,2.1090,1.243000e+00
10,37,2.1500,3.213000e+01
10,41,2.2090,4.404000e-01
10,45,2.3190,1.603000e+01
11,19,1.2100,7.973000e+02
11,22,1.6030,1.216000e+01
11,24,1.7250,1.445000e+02
11,28,1.9130,3.675000e+00
11,30,1.9810,5.980000e+01
11,34,2.0800,1.346000e+00
11,36,2.1200,3.415000e+01
11,40,2.1790,4.793000e-01
11,44,2.2890,3.654000e+00
12,16,0.2060,2.810000e+02
12,20,0.9080,6.543000e-01
12,27,1.2690,4.398000e-02
12,33,1.4630,1.030000e-02
12,39,1.5760,6.931000e-03
12,47,1.7400,1.200000e-03
13,16,0.0960,2.810000e+02
13,20,0.7980,6.543000e-01
13,27,1.1590,4.398000e-02
13,33,1.3530,1.030000e-02
13,39,1.4660,6.931000e-03
13,47,1.6300,1.200000e-03
