n,gamma_p
2,7.630000e-02
3,4.800000e-02
4,3.050000e-02
5,9.150000e-02
6,4.075000e-02
7,2.716667e-01
8,2.173333e-01
9,8.150000e-02
10,1.358333e-02
11,2.716667e-02
12,8.550000e-02
13,1.520000e-01
14,3.230000e-01
15,9.630000e-02
16,2.388000e-01
17,5.700000e-02
18,2.550000e-01
19,2.550000e-01
20,4.455000e-01
21,4.455000e-01
22,1.870000e-01
23,1.870000e-01
24,2.100000e-01
25,2.100000e-01
26,3.926000e-01
27,3.926000e-01
28,3.254000e-01
29,3.254000e-01
30,1.780000e-01
31,1.780000e-01
32,3.470000e-01
33,3.470000e-01
34,4.239000e-01
35,4.239000e-01
36,1.550000e-01
37,1.550000e-01
38,3.085000e-01
39,3.085000e-01
40,5.005000e-01
41,5.005000e-01
42,7.835000e-01
43,7.835000e-01
44,9.439200e-01
45,9.439200e-01
46,1.000000e+00
47,1.000000e+00
48,1.000000e+00
49,1.000000e+00
50,1.000000e+00
51,1.000000e+00
52,1.000000e+00
53,1.000000e+00
54,1.000000e+00
55,1.000000e+00
56,1.000000e+00
57,1.000000e+00
58,1.000000e+00
59,1.000000e+00
60,1.000000e+00
61,1.000000e+00
62,1.000000e+00
63,1.000000e+00
64,1.000000e+00
65,1.000000e+00
