lower_shell,upper_shell,alpha_2P3_2,alpha_2P1_2,beta
4s,5s,1.418E+1,1.439E+1,1.0
4s,6s,2.028,2.031,1.0
4s,7s,5.810E-1,5.884E-1,1.0
4s,8s,1.757E-1,1.771E-1,1.0
4s,9s,6.340E-2,6.240E-2,1.0
4s,10s,2.350E-2,2.482E-2,1.0
4p,5p,7.615E+2,7.973E+2,1.0
4p,6p,1.378E+2,1.445E+2,1.0
4p,7p,5.657E+1,5.980E+1,1.0
4p,8p,3.213E+1,3.415E+1,1.0
4p,9p,1.603E+1,3.654,1.0
3d,4d,,,
3d,5d,,,
3d,6d,,,
3d,7d,,,
3d,8d,,,
5s,6s,2.162E+2,2.159E+2,1.0
5s,7s,2.769E+1,2.810E+1,1.0
5s,8s,9.518,9.470,1.0
5s,9s,4.619,4.567,1.0
5s,10s,2.071,2.193,1.0
5p,6p,1.296E+4,1.318E+4,1.0
5p,7p,1.983E+3,2.003E+3,1.0
5p,8p,7.689E+2,7.814E+2,1.0
5p,9p,4.070E+2,1.084E+2,1.0
4d,5d,2.596E+3,2.927E+3,1.0
4d,6d,3.462E+2,3.852E+2,1.0
4d,7d,1.208E+2,1.399E+2,1.0
4d,8d,6.066E+1,5.642,1.0
6s,7s,1.526E+3,1.547E+3,1.0
6s,8s,1.806E+2,1.793E+2,1.0
6s,9s,5.829E+1,5.748E+1,1.0
6s,10s,2.722E+1,2.879E+1,1.0
4f,5f,4.682E+4,4.586E+4,1.0
4f,6f,7.789E+2,7.634E+2,1.0
4f,7f,5.827E+3,5.726E+3,1.0
6p,7p,1.041E+5,1.042E+5,1.0
6p,8p,1.449E+4,1.460E+4,1.0
6p,9p,5.063E+3,1.334E+3,1.0
5d,6d,1.608E+4,1.832E+4,1.0
5d,7d,2.170E+3,2.427E+3,1.0
5d,8d,6.657E+2,6.419E+1,1.0
7s,8s,6.996E+3,6.969E+3,1.0
7s,9s,7.707E+2,7.900E+2,1.0
7s,10s,2.435E+2,2.593E+2,1.0
5f,6f,3.324E+3,3.307E+3,1.0
5f,7f,3.519E+2,3.514E+2,1.0
7p,8p,5.761E+5,5.813E+5,1.0
7p,9p,7.101E+4,1.854E+4,1.0
6d,7d,7.727E+4,8.712E+4,1.0
6d,8d,8.322E+3,7.943E+2,1.0
8s,9s,2.558E+4,2.513E+4,1.0
8s,10s,2.716E+3,2.874E+3,1.0
6f,7f,1.181E+4,1.179E+4,1.0
8p,9p,2.362E+6,6.016E+5,1.0
7d,8d,2.585E+5,2.324E+4,1.0
9s,10s,7.835E+4,8.323E+4,1.0
