lower_shell,upper_shell,A_2P3_2,A_2P1_2
4s,4p,3.329e7,3.367e7
4s,5p,2.091e6,1.870e6
4s,6p,6.010e5,4.384e5
4s,7p,2.747e5,1.981e5
4s,8p,1.296e5,8.497e4
4s,9p,8.632e4,1.923e5
4p,3d,1.783e7,1.903e7
4p,4d,5.960e5,5.539e5
4p,5d,1.095e6,2.004e6
4p,6d,8.440e5,1.355e6
4p,7d,7.663e5,1.046e6
4p,8d,4.747e5,1.221e5
4p,5s,2.065e7,1.981e7
4p,6s,6.481e6,6.110e6
4p,7s,3.042e6,2.839e6
4p,8s,1.696e6,1.602e6
4p,9s,1.029e6,9.724e5
4p,10s,6.706e5,6.067e5
3d,5p,2.178e6,2.015e6
3d,6p,5.865e5,5.289e5
3d,7p,2.511e5,2.339e5
3d,8p,1.281e5,1.208e5
3d,9p,7.504e4,8.623e4
3d,4f,1.830e7,1.775e7
3d,5f,8.581e6,7.800e6
3d,6f,4.736e6,4.197e6
3d,7f,2.898e6,2.537e6
5s,5p,4.034e6,4.171e6
5s,6p,3.913e5,3.974e5
5s,7p,1.239e5,1.279e5
5s,8p,4.943e4,4.951e4
5s,9p,2.912e4,7.642e4
5p,4d,2.120e6,2.261e6
5p,5d,2.077e4,1.061e5
5p,6d,8.809e4,1.895e5
5p,7d,1.469e5,2.061e5
5p,8d,4.757e4,4.179e3
5p,6s,4.566e6,4.507e6
5p,7s,1.612e6,1.563e6
5p,8s,8.496e5,8.353e5
5p,9s,4.985e5,4.923e5
5p,10s,3.187e5,2.965e5
4d,4f,2.496e3,1.965e3
4d,5f,1.631e6,1.742e6
4d,6f,1.250e6,1.293e6
4d,7f,6.533e5,8.758e5
4d,6p,1.085e6,1.056e6
4d,7p,4.058e5,3.902e5
4d,8p,2.094e5,2.007e5
4d,9p,1.248e5,1.285e5
6s,6p,9.631e5,9.562e5
6s,7p,1.350e5,1.332e5
6s,8p,4.482e4,4.276e4
6s,9p,2.322e4,5.672e4


4f,5d,2.846e5,3.023e5
4f,6d,1.141e5,1.174e5
4f,7d,6.203e4,6.183e4
4f,8d,3.778e4,
6p,5d,5.205e3,4.359e3
6p,6d,6.155e2,6.362e3
6p,7d,2.580e4,4.053e4
6p,8d,2.199e4,1.632e5
6p,7s,1.425e6,1.422e6
6p,8s,5.483e5,5.539e5
6p,9s,2.993e5,3.053e5
6p,10s,1.854e5,1.765e5
5d,5f,1.221e5,1.691e5
5d,6f,2.547e5,1.935e5
5d,7f,2.517e5,2.127e5
5d,7p,4.726e5,4.848e5
5d,8p,2.010e5,2.115e5
5d,9p,1.147e2,1.220e7
7s,7p,3.176e5,3.222e5
7s,8p,5.159e4,5.264e4
7s,9p,2.158e4,3.789e4
5f,6d,1.849e5,1.938e5
5f,7d,8.592e4,8.720e4
5f,8d,4.818e4,
7p,6d,1.767e5,1.492e5
7p,7d,2.852e2,2.456e3
7p,8d,3.373e3,7.400e3
7p,8s,5.564e3,5.589e5
7p,9s,2.181e3,2.215e5
7p,10s,1.251e5,1.182e5
6d,6f,5.468e4,7.285e4
6d,7f,5.699e4,4.015e4
6d,8p,2.209e5,2.266e5
6d,9p,1.022e5,1.090e5
8s,8p,1.228e5,1.209e5
8s,9p,2.367e4,3.342e4
6f,7d,1.089e5,1.113e5
6f,8d,5.220e4,
8p,7d,6.557e4,5.799e4
8p,8d,4.208e2,1.827e4
8p,9s,2.519e5,2.548e5
8p,10s,1.027e5,9.800e4
7d,7f,3.355e4,4.031e4
7d,9p,1.152e5,1.126e5
9s,9p,5.914e4,5.889e4
7f,8d,6.156e4,
9p,8d,3.293e4,3.624e4
9p,10s,1.247e3,2.761e4
