lower_shell,upper_shell,alpha_2P3_2,alpha_2P1_2,beta
4s,4p,9.299e-1,9.110e-1,1.0
4s,5p,6.518e-1,5.848e-1,1.0
4s,6p,4.456e-1,6.184e-1,1.0
4s,7p,3.694e-1,3.463e-1,1.0
4s,8p,1.692e-1,1.395e-1,1.0
4s,9p,7.215e-2,5.530e-1,1.0
4s,3d,1.430e1,1.509e1,1.0
4s,4d,5.948e-1,6.799e-1,1.0
4s,5d,7.510e-2,6.245e-2,1.0
4s,6d,9.370e-3,1.028e-2,1.0
4s,7d,2.857e-3,5.610e-3,1.0
4s,8d,2.673e-4,,1.0
4s,4f,4.100e-1,4.410e-1,1.0
4s,5f,1.781e-1,1.910e-1,1.0
4s,6f,5.299e-2,5.731e-2,1.0
4s,7f,8.668e-3,9.713e-3,1.0
4p,5s,2.832e-1,2.784e-1,1.0
4p,6s,1.082,1.097,1.0
4p,7s,1.118,1.140,1.0
4p,8s,1.132,1.150,1.0
4p,9s,1.124,1.143,1.0
4p,10s,1.079,1.102,1.0
4p,3d,7.983e-1,9.132e-1,1.0
4p,4d,9.414e-1,1.010,1.0
4p,5d,8.359e-1,8.385e-1,1.0
4p,6d,8.438e-1,8.502e-1,1.0
4p,7d,8.613e-1,8.613e-1,1.0
4p,8d,8.602e-1,4.808e-2,1.0
4p,4f,1.090e1,1.216e1,1.0
4p,5f,3.375,3.675,1.0
4p,6f,1.243,1.346,1.0
4p,7f,4.404e-1,4.793e-1,1.0
3d,5s,2.810e2,1.781e3,1.0
3d,6s,6.543e-1,6.995e-1,1.0
3d,7s,4.398e-2,5.134e-2,1.0
3d,8s,1.030e-2,2.686e-2,1.0
3d,9s,6.931e-3,8.543e-3,1.0
3d,10s,1.200e-3,1.167e-3,1.0
3d,5p,9.776e-1,9.900e-1,1.0
3d,6p,1.089,1.153,1.0
3d,7p,1.135,5.608e-1,1.0
3d,8p,1.178,1.430e-1,1.0
3d,9p,1.157,1.075,1.0
3d,4f,6.798e-1,7.211e-1,1.0
3d,5f,2.574e-1,3.239e-1,1.0
3d,6f,1.379e-2,3.322e-2,1.0
3d,7f,2.142e-1,1.374e-1,1.0
5s,5p,9.472e-1,9.444e-1,1.0
5s,6p,9.522e-1,9.632e-1,1.0
5s,7p,6.843e-1,6.939e-1,1.0
5s,8p,7.207e-1,7.276e-1,1.0
5s,9p,8.453e-1,3.202e-1,1.0
5s,4d,1.497e1,1.590e1,1.0
5s,5d,1.536e1,1.467e1,1.0
5s,6d,3.570,3.272,1.0
5s,7d,1.127,1.035,1.0
5s,8d,3.722e-1,,1.0
5s,4f,6.189e1,6.153e1,1.0
5s,5f,2.178,2.198,1.0
5s,6f,2.136e-1,2.111e-1,1.0
5s,7f,1.918e-1,1.837e-1,1.0
5p,6s,4.361e-1,4.488e-1,1.0
5p,7s,1.078,1.085,1.0
5p,8s,1.116,1.120,1.0
5p,9s,1.145,1.148,1.0
5p,10s,1.165,1.189,1.0
5p,4d,9.056e-1,9.332e-1,1.0
5p,5d,3.347,1.106,1.0
5p,6d,1.030,8.983e-1,1.0
5p,7d,8.868e-1,8.749e-1,1.0
5p,8d,8.982e-1,4.974,1.0
5p,4f,5.721e2,5.773e2,1.0
5p,5f,1.210e1,1.249e1,1.0
5p,6f,6.208,6.452,1.0
5p,7f,3.466,3.603,1.0
4d,6s,1.272e3,1.539e3,1.0
4d,7s,3.898,4.381,1.0
4d,8s,3.803e-1,5.309e-1,1.0
4d,9s,3.201e-1,4.529e-1,1.0
4d,10s,2.661e-1,2.866e-1,1.0
4d,6p,9.511e-1,9.552e-1,1.0
4d,7p,1.048,1.063,1.0
4d,8p,1.090,1.107,1.0
4d,9p,1.106,5.432e-1,1.0
4d,4f,1.057,1.062,1.0
4d,5f,2.693e-1,3.025e-1,1.0
4d,6f,1.473e-2,7.730e-3,1.0
4d,7f,3.418e-1,3.635e-1,1.0
6s,6p,9.408e-1,9.412e-1,1.0
6s,7p,1.032,1.036,1.0
6s,8p,8.717e-1,8.946e-1,1.0
6s,9p,6.271e-1,2.646e-1,1.0
6s,5d,1.544e3,1.603e3,1.0
6s,6d,1.053e2,1.039e2,1.0
6s,7d,2.503e1,2.414e1,1.0
6s,8d,9.936,,1.0
6s,4f,5.281,5.315e2,1.0
6s,5f,2.451e2,2.444e2,1.0
6s,6f,6.322,6.248,1.0
6s,7f,4.172,4.209,1.0
4f,7s,3.702,3.749,1.0
4f,8s,6.962e-1,6.993e-1,1.0
4f,9s,2.746e-1,2.741e-1,1.0
4f,10s,1.136e-1,1.161e-1,1.0
4f,6p,4.137e2,4.169e2,1.0
4f,7p,7.922,7.935,1.0
4f,8p,1.824,1.827,1.0
4f,9p,7.248e-1,2.408e-1,1.0
4f,5d,3.023e-1,3.409e-2,1.0
4f,6d,3.881e-1,4.142e-1,1.0
4f,7d,1.076e-1,1.154e-1,1.0
4f,8d,1.366e-1,,1.0
6p,7s,5.588e-1,5.234e-1,1.0
6p,8s,1.069,1.007,1.0
6p,9s,1.122,1.117,1.0
6p,10s,1.151,1.189,1.0
6p,5d,9.474e-1,9.200e-1,1.0
6p,6d,4.526e2,3.618,1.0
6p,7d,1.128,9.466e-1,1.0
6p,8d,2.093,1.054e1,1.0
6p,5f,3.124e3,3.107e3,1.0
6p,6f,1.859e1,1.815e1,1.0
6p,7f,2.145e1,2.122e1,1.0
5d,7s,6.515e3,5.264e3,1.0
5d,8s,1.935e1,1.722e1,1.0
5d,9s,3.073,1.843,1.0
5d,10s,2.623,1.428,1.0
5d,7p,9.318e-1,9.267e-1,1.0
5d,8p,1.028,1.013,1.0
5d,9p,1.062,5.061e-1,1.0
5d,5f,1.025,1.018,1.0
5d,6f,3.562e-2,8.013e-2,1.0
5d,7f,3.813e-1,3.375e-1,1.0
7s,7p,9.302e-1,9.307e-1,1.0
7s,8p,1.090,1.100,1.0
7s,9p,9.147e-1,6.897e-1,1.0
7s,6d,6.343e3,6.909e3,1.0
7s,7d,4.365e2,4.346e2,1.0
7s,8d,1.072e2,,1.0
7s,5f,1.017e4,9.810e3,1.0
7s,6f,7.426e2,7.291e2,1.0
7s,7f,1.870e1,1.895e1,1.0
5f,8s,2.588e1,2.579e1,1.0
5f,9s,4.201,4.261,1.0
5f,10s,1.738,1.767,1.0
5f,7p,3.239e3,3.270e3,1.0
5f,8p,5.961e1,5.990e1,1.0
