obs_wl_vac(nm),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""86.6800""","=""3.13e+08""","=""1.06e-01""",C+,"=""0.00000000""","=""14.3036684""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""86.9754""","=""3.50e+07""","=""1.19e-02""",C,"=""0.00000000""","=""14.2550856""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",1,3,,
"=""87.6058""","=""2.70e+08""","=""9.32e-02""",C+,"=""0.00000000""","=""14.1525151""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""87.9947""","=""7.7e+07""","=""2.7e-02""",C,"=""0.00000000""","=""14.0899685""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",1,3,,
"=""104.8220""","=""5.32e+08""","=""2.629e-01""",AA,"=""0.00000000""","=""11.82807116""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",1,3,,
"=""106.6660""","=""1.320e+08""","=""6.75e-02""",A+,"=""0.00000000""","=""11.62359272""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",1,3,,
"=""346.206""","=""6.7e+04""","=""2.0e-04""",D,"=""11.62359272""","=""15.2048089""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",3,5,,
"=""355.5321""","=""2.7e+05""","=""5.1e-04""",D,"=""11.54835442""","=""15.0356402""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""",5,5,,
"=""360.7551""","=""7.6e+05""","=""4.9e-04""",D,"=""11.62359272""","=""15.0603901""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""",3,1,,
"=""377.1440""","=""7.0e+04""","=""4.5e-04""",D,"=""11.72316039""","=""15.0106102""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",1,3,,
"=""383.5767""","=""7.5e+05""","=""5.5e-04""",D,"=""11.82807116""","=""15.0603901""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""",3,1,,
"=""394.8622""","=""5.6e+04""","=""1.31e-04""",C+,"=""11.54835442""","=""14.68829030""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",5,5,,
"=""395.0097""","=""4.6e+05""","=""6.4e-04""",B,"=""11.54835442""","=""14.68711824""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",5,3,,
"=""404.5561""","=""3.3e+05""","=""1.36e-03""",B,"=""11.62359272""","=""14.68829030""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",3,5,,
"=""415.9762""","=""1.40e+06""","=""3.6e-03""",B,"=""11.54835442""","=""14.52891349""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",5,5,,
"=""416.5354""","=""2.9e+05""","=""4.5e-04""",B,"=""11.54835442""","=""14.52491330""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",5,3,,
"=""418.3063""","=""5.6e+05""","=""4.4e-03""",B,"=""11.72316039""","=""14.68711824""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",1,3,,
"=""419.1894""","=""2.80e+05""","=""7.4e-04""",B,"=""11.54835442""","=""14.50606764""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",5,5,,
"=""419.2210""","=""5.4e+05""","=""4.3e-03""",C+,"=""11.72316039""","=""14.68065033""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",1,3,,
